filename,width,height,x0,y0,x1,y1,label
22,81,28,34.0,5.0,41.0,21.0,1
22,81,28,40.0,5.0,51.0,21.0,5
23,104,42,29.0,5.0,50.0,37.0,4
23,104,42,52.0,5.0,74.0,37.0,7
24,445,181,233.0,59.0,252.0,93.0,8
24,445,181,248.0,56.0,269.0,90.0,9
25,190,75,60.0,11.0,84.0,61.0,6
25,190,75,87.0,9.0,111.0,59.0,10
25,190,75,113.0,7.0,134.0,57.0,1
26,100,47,34.0,7.0,46.0,39.0,2
26,100,47,49.0,8.0,62.0,40.0,4
27,142,64,46.0,11.0,72.0,56.0,5
27,142,64,73.0,8.0,100.0,53.0,6
28,87,47,31.0,8.0,44.0,41.0,5
28,87,47,42.0,7.0,52.0,40.0,2
29,119,48,43.0,14.0,53.0,32.0,1
29,119,48,51.0,13.0,67.0,31.0,3
29,119,48,66.0,14.0,71.0,32.0,2
30,54,27,16.0,1.0,23.0,26.0,1
30,54,27,25.0,1.0,36.0,26.0,4
31,60,21,14.0,1.0,24.0,20.0,6
31,60,21,24.0,1.0,35.0,20.0,3
31,60,21,36.0,1.0,47.0,20.0,8
32,121,63,48.0,16.0,65.0,49.0,4
32,121,63,67.0,19.0,85.0,52.0,3
33,91,44,27.0,5.0,43.0,38.0,1
33,91,44,42.0,5.0,60.0,38.0,4
34,111,52,41.0,13.0,57.0,45.0,4
34,111,52,54.0,9.0,78.0,41.0,2
35,57,24,25.0,5.0,32.0,19.0,6
36,122,62,50.0,9.0,73.0,56.0,4
36,122,62,72.0,8.0,96.0,55.0,4
37,73,30,24.0,4.0,30.0,24.0,1
37,73,30,42.0,2.0,49.0,22.0,1
38,233,104,87.0,28.0,113.0,85.0,1
38,233,104,108.0,22.0,145.0,79.0,7
39,150,76,62.0,19.0,75.0,59.0,3
39,150,76,74.0,20.0,83.0,60.0,1
40,178,84,61.0,9.0,89.0,70.0,2
40,178,84,93.0,17.0,121.0,78.0,10
41,103,54,38.0,10.0,49.0,45.0,4
41,103,54,50.0,9.0,63.0,44.0,2
42,287,114,110.0,27.0,135.0,78.0,2
42,287,114,131.0,36.0,161.0,87.0,5
42,287,114,159.0,36.0,185.0,87.0,1
43,235,96,87.0,24.0,118.0,75.0,2
43,235,96,119.0,20.0,145.0,71.0,9
44,72,36,19.0,3.0,32.0,29.0,2
44,72,36,32.0,3.0,40.0,29.0,10
44,72,36,40.0,3.0,47.0,29.0,4
45,91,41,35.0,3.0,43.0,34.0,1
45,91,41,44.0,4.0,56.0,35.0,10
46,437,202,136.0,87.0,185.0,191.0,3
46,437,202,201.0,44.0,242.0,148.0,2
46,437,202,257.0,18.0,310.0,122.0,7
47,42,20,14.0,2.0,20.0,17.0,2
47,42,20,20.0,1.0,25.0,16.0,4
48,205,86,74.0,20.0,102.0,70.0,4
48,205,86,103.0,17.0,132.0,67.0,6
49,221,77,65.0,18.0,101.0,63.0,8
49,221,77,102.0,15.0,128.0,60.0,1
49,221,77,132.0,16.0,160.0,61.0,7
50,168,68,58.0,27.0,69.0,53.0,1
50,168,68,74.0,22.0,89.0,48.0,10
50,168,68,95.0,17.0,110.0,43.0,3
51,120,63,47.0,7.0,63.0,52.0,9
51,120,63,66.0,9.0,75.0,54.0,1
52,145,58,45.0,12.0,68.0,50.0,3
52,145,58,74.0,11.0,102.0,49.0,5
53,392,149,160.0,34.0,219.0,118.0,9
53,392,149,208.0,18.0,260.0,102.0,3
54,126,66,36.0,10.0,54.0,55.0,1
54,126,66,56.0,8.0,77.0,53.0,1
55,223,79,116.0,27.0,131.0,62.0,1
55,223,79,128.0,29.0,138.0,64.0,1
55,223,79,137.0,29.0,154.0,64.0,3
55,223,79,151.0,26.0,168.0,61.0,7
56,67,28,22.0,4.0,31.0,24.0,5
56,67,28,35.0,3.0,44.0,23.0,6
57,163,77,63.0,38.0,79.0,63.0,2
57,163,77,74.0,26.0,89.0,51.0,1
57,163,77,83.0,12.0,102.0,37.0,5
58,128,59,45.0,6.0,64.0,52.0,1
58,128,59,65.0,2.0,82.0,48.0,1
59,89,48,35.0,3.0,54.0,45.0,2
60,48,21,16.0,1.0,25.0,21.0,4
60,48,21,25.0,1.0,32.0,21.0,7
61,69,34,33.0,6.0,42.0,25.0,5
62,129,60,45.0,6.0,69.0,52.0,3
62,129,60,61.0,8.0,86.0,54.0,2
63,253,109,96.0,23.0,136.0,86.0,4
63,253,109,132.0,27.0,169.0,90.0,3
64,75,33,26.0,4.0,34.0,30.0,2
64,75,33,37.0,3.0,53.0,29.0,9
65,70,31,25.0,6.0,36.0,27.0,5
65,70,31,36.0,7.0,48.0,28.0,8
66,92,42,38.0,6.0,49.0,36.0,9
66,92,42,46.0,6.0,60.0,36.0,5
67,126,62,48.0,5.0,60.0,52.0,1
67,126,62,59.0,4.0,81.0,51.0,10
68,187,82,71.0,19.0,85.0,54.0,5
68,187,82,88.0,19.0,101.0,54.0,4
68,187,82,102.0,14.0,122.0,49.0,2
69,134,69,54.0,12.0,69.0,58.0,4
69,134,69,67.0,16.0,81.0,62.0,4
70,63,27,20.0,5.0,31.0,21.0,3
70,63,27,30.0,5.0,37.0,21.0,1
71,91,32,24.0,4.0,35.0,26.0,2
71,91,32,36.0,4.0,46.0,26.0,3
71,91,32,48.0,3.0,57.0,25.0,8
71,91,32,58.0,3.0,68.0,25.0,6
72,68,27,26.0,6.0,33.0,23.0,1
72,68,27,34.0,5.0,45.0,22.0,5
73,41,20,18.0,3.0,23.0,17.0,3
74,81,35,28.0,4.0,38.0,30.0,3
74,81,35,40.0,6.0,52.0,32.0,3
75,85,45,34.0,10.0,41.0,39.0,1
75,85,45,40.0,9.0,51.0,38.0,8
76,53,22,22.0,2.0,28.0,20.0,9
76,53,22,29.0,2.0,35.0,20.0,8
77,189,79,53.0,5.0,83.0,65.0,7
77,189,79,84.0,4.0,108.0,64.0,3
77,189,79,106.0,6.0,130.0,66.0,9
78,175,47,78.0,14.0,87.0,36.0,1
78,175,47,86.0,14.0,94.0,36.0,3
78,175,47,93.0,12.0,104.0,34.0,8
79,224,92,40.0,41.0,62.0,92.0,1
79,224,92,64.0,33.0,94.0,84.0,9
79,224,92,99.0,17.0,134.0,68.0,2
79,224,92,138.0,11.0,169.0,62.0,2
80,100,41,38.0,11.0,50.0,30.0,2
80,100,41,54.0,8.0,70.0,27.0,2
81,131,56,49.0,8.0,63.0,39.0,7
81,131,56,64.0,7.0,81.0,38.0,4
82,107,46,35.0,8.0,54.0,38.0,4
82,107,46,54.0,6.0,72.0,36.0,5
83,106,50,36.0,6.0,52.0,35.0,6
83,106,50,53.0,15.0,65.0,44.0,10
84,85,42,34.0,6.0,54.0,38.0,3
85,49,23,17.0,7.0,23.0,22.0,1
85,49,23,23.0,6.0,30.0,21.0,7
86,70,32,26.0,4.0,33.0,24.0,3
86,70,32,33.0,5.0,42.0,25.0,5
87,167,73,67.0,16.0,81.0,51.0,1
87,167,73,81.0,17.0,105.0,52.0,7
88,119,63,47.0,13.0,74.0,49.0,5
89,233,109,85.0,23.0,111.0,87.0,1
89,233,109,110.0,19.0,143.0,83.0,8
90,111,46,37.0,6.0,43.0,36.0,1
90,111,46,46.0,7.0,59.0,37.0,6
90,111,46,61.0,10.0,74.0,40.0,4
91,125,56,49.0,18.0,58.0,44.0,1
91,125,56,59.0,17.0,70.0,43.0,9
91,125,56,68.0,13.0,79.0,39.0,3
92,110,49,35.0,6.0,54.0,41.0,3
92,110,49,56.0,8.0,70.0,43.0,5
93,113,52,40.0,11.0,52.0,43.0,1
93,113,52,51.0,7.0,70.0,39.0,7
94,144,62,54.0,18.0,66.0,52.0,1
94,144,62,67.0,12.0,86.0,46.0,2
95,294,126,127.0,58.0,137.0,84.0,1
95,294,126,136.0,60.0,145.0,86.0,10
95,294,126,148.0,60.0,159.0,86.0,4
95,294,126,157.0,59.0,167.0,85.0,4
96,119,48,33.0,6.0,56.0,45.0,1
96,119,48,56.0,5.0,88.0,44.0,8
97,98,47,34.0,8.0,50.0,40.0,3
97,98,47,48.0,6.0,62.0,38.0,6
98,157,57,50.0,7.0,65.0,44.0,1
98,157,57,66.0,7.0,87.0,44.0,2
98,157,57,85.0,11.0,112.0,48.0,10
99,76,38,30.0,4.0,47.0,33.0,2
100,67,27,18.0,1.0,23.0,23.0,1
100,67,27,23.0,0.0,32.0,22.0,10
100,67,27,32.0,0.0,42.0,22.0,9
101,81,39,27.0,7.0,40.0,34.0,5
101,81,39,42.0,5.0,54.0,32.0,3
102,156,78,58.0,14.0,76.0,65.0,3
102,156,78,77.0,9.0,93.0,60.0,5
103,96,34,54.0,2.0,74.0,30.0,7
104,219,101,67.0,18.0,96.0,87.0,1
104,219,101,99.0,20.0,120.0,89.0,10
104,219,101,122.0,12.0,148.0,81.0,4
105,277,119,83.0,13.0,127.0,113.0,1
105,277,119,128.0,10.0,197.0,110.0,4
106,97,39,37.0,12.0,47.0,29.0,1
106,97,39,49.0,12.0,60.0,29.0,4
107,128,57,49.0,16.0,63.0,45.0,5
107,128,57,64.0,13.0,80.0,42.0,2
108,71,35,28.0,3.0,42.0,30.0,2
109,113,53,38.0,11.0,56.0,39.0,3
109,113,53,57.0,10.0,71.0,38.0,10
110,52,21,16.0,1.0,26.0,19.0,6
110,52,21,27.0,1.0,38.0,19.0,3
111,55,28,23.0,8.0,34.0,28.0,9
112,117,46,31.0,2.0,45.0,39.0,1
112,117,46,44.0,1.0,65.0,38.0,8
112,117,46,63.0,6.0,82.0,43.0,7
113,59,27,19.0,1.0,27.0,22.0,1
113,59,27,27.0,3.0,39.0,24.0,3
114,75,38,29.0,6.0,36.0,34.0,1
114,75,38,37.0,4.0,47.0,32.0,9
115,77,33,26.0,1.0,35.0,27.0,3
115,77,33,38.0,1.0,51.0,27.0,2
116,77,33,27.0,12.0,35.0,26.0,5
116,77,33,34.0,12.0,40.0,26.0,1
116,77,33,40.0,11.0,49.0,25.0,3
117,455,193,145.0,8.0,224.0,153.0,4
117,455,193,224.0,13.0,311.0,158.0,8
118,63,19,13.0,2.0,22.0,17.0,3
118,63,19,22.0,2.0,31.0,17.0,4
118,63,19,31.0,1.0,40.0,16.0,2
118,63,19,40.0,1.0,47.0,16.0,1
119,259,118,91.0,55.0,118.0,103.0,3
119,259,118,113.0,44.0,142.0,92.0,2
119,259,118,135.0,33.0,174.0,81.0,3
120,171,81,65.0,20.0,89.0,60.0,5
120,171,81,84.0,20.0,101.0,60.0,1
121,119,34,32.0,8.0,38.0,29.0,1
121,119,34,43.0,8.0,56.0,29.0,3
121,119,34,63.0,7.0,74.0,28.0,5
121,119,34,79.0,7.0,92.0,28.0,8
122,54,27,21.0,2.0,25.0,25.0,1
122,54,27,26.0,1.0,31.0,24.0,7
123,62,33,25.0,5.0,35.0,27.0,6
124,48,26,19.0,1.0,29.0,24.0,5
125,50,21,18.0,3.0,24.0,20.0,6
125,50,21,23.0,3.0,33.0,20.0,4
126,173,75,56.0,14.0,71.0,66.0,1
126,173,75,72.0,12.0,94.0,64.0,10
126,173,75,97.0,8.0,118.0,60.0,8
127,107,50,32.0,15.0,48.0,51.0,8
128,135,75,56.0,16.0,65.0,61.0,1
128,135,75,65.0,22.0,76.0,67.0,3
129,58,27,21.0,5.0,29.0,22.0,6
129,58,27,29.0,5.0,38.0,22.0,8
130,68,31,26.0,4.0,43.0,25.0,4
131,80,32,24.0,6.0,32.0,24.0,1
131,80,32,32.0,5.0,43.0,23.0,7
131,80,32,44.0,5.0,55.0,23.0,4
132,236,104,78.0,20.0,121.0,87.0,9
132,236,104,122.0,8.0,158.0,75.0,8
133,268,129,91.0,13.0,134.0,112.0,4
133,268,129,132.0,14.0,176.0,113.0,4
134,39,19,16.0,2.0,25.0,16.0,9
135,80,34,26.0,2.0,39.0,30.0,6
135,80,34,41.0,3.0,53.0,31.0,8
136,113,62,52.0,10.0,67.0,47.0,2
137,136,64,50.0,10.0,64.0,53.0,1
137,136,64,70.0,10.0,87.0,53.0,10
138,160,69,60.0,19.0,77.0,56.0,4
138,160,69,81.0,15.0,101.0,52.0,6
139,69,28,21.0,1.0,34.0,24.0,2
139,69,28,35.0,2.0,48.0,25.0,8
140,53,21,18.0,1.0,30.0,19.0,9
141,68,32,25.0,4.0,34.0,28.0,3
141,68,32,35.0,2.0,43.0,26.0,9
142,253,119,92.0,7.0,157.0,94.0,4
143,134,50,51.0,13.0,68.0,37.0,4
143,134,50,67.0,14.0,81.0,38.0,1
144,92,39,27.0,3.0,35.0,31.0,1
144,92,39,36.0,3.0,50.0,31.0,9
144,92,39,51.0,3.0,62.0,31.0,5
145,255,141,93.0,18.0,131.0,111.0,3
145,255,141,120.0,23.0,158.0,116.0,3
146,73,26,23.0,4.0,30.0,17.0,2
146,73,26,29.0,5.0,38.0,18.0,5
146,73,26,37.0,7.0,43.0,20.0,1
146,73,26,43.0,6.0,52.0,19.0,8
147,74,33,28.0,3.0,34.0,27.0,1
147,74,33,34.0,3.0,48.0,27.0,5
148,347,167,140.0,43.0,156.0,73.0,3
148,347,167,161.0,43.0,180.0,73.0,10
148,347,167,183.0,42.0,202.0,72.0,10
149,52,24,19.0,3.0,27.0,20.0,4
149,52,24,26.0,3.0,35.0,20.0,7
150,261,92,136.0,36.0,155.0,63.0,2
150,261,92,156.0,36.0,168.0,63.0,8
150,261,92,167.0,35.0,185.0,62.0,6
151,80,33,25.0,4.0,39.0,25.0,3
151,80,33,40.0,4.0,55.0,25.0,3
152,133,54,52.0,8.0,67.0,45.0,2
152,133,54,66.0,10.0,78.0,47.0,10
152,133,54,76.0,9.0,87.0,46.0,7
153,75,41,30.0,7.0,36.0,35.0,1
153,75,41,36.0,7.0,45.0,35.0,9
154,53,27,18.0,3.0,32.0,23.0,2
155,153,71,68.0,13.0,90.0,57.0,7
156,85,48,35.0,9.0,51.0,37.0,6
157,127,52,37.0,7.0,63.0,44.0,5
157,127,52,65.0,7.0,88.0,44.0,7
158,261,133,113.0,34.0,166.0,115.0,2
159,92,43,28.0,11.0,51.0,40.0,9
159,92,43,51.0,6.0,65.0,35.0,1
160,127,50,49.0,9.0,57.0,36.0,2
160,127,50,59.0,11.0,67.0,38.0,10
160,127,50,70.0,11.0,83.0,38.0,8
161,248,113,91.0,26.0,124.0,89.0,8
161,248,113,118.0,25.0,151.0,88.0,5
162,87,45,32.0,1.0,53.0,37.0,3
163,364,188,148.0,49.0,173.0,85.0,5
163,364,188,167.0,46.0,189.0,82.0,6
163,364,188,184.0,46.0,209.0,82.0,10
164,131,70,57.0,10.0,81.0,67.0,5
165,147,68,45.0,12.0,59.0,52.0,1
165,147,68,58.0,13.0,78.0,53.0,7
165,147,68,78.0,14.0,101.0,54.0,6
166,131,50,40.0,18.0,64.0,45.0,7
166,131,50,55.0,11.0,76.0,38.0,5
166,131,50,72.0,7.0,93.0,34.0,4
167,74,28,30.0,8.0,35.0,23.0,1
167,74,28,35.0,8.0,46.0,23.0,5
168,80,39,30.0,8.0,37.0,32.0,2
168,80,39,36.0,9.0,42.0,33.0,8
168,80,39,42.0,8.0,50.0,32.0,2
169,88,39,26.0,3.0,47.0,36.0,4
169,88,39,43.0,3.0,61.0,36.0,2
170,85,41,30.0,4.0,42.0,32.0,7
170,85,41,41.0,8.0,57.0,36.0,6
171,178,71,53.0,16.0,85.0,56.0,4
171,178,71,80.0,14.0,94.0,54.0,1
171,178,71,96.0,13.0,120.0,53.0,9
172,84,41,31.0,6.0,40.0,31.0,2
172,84,41,45.0,7.0,49.0,32.0,1
173,49,24,17.0,5.0,23.0,21.0,1
173,49,24,25.0,4.0,30.0,20.0,1
174,89,39,31.0,6.0,43.0,31.0,5
174,89,39,42.0,4.0,58.0,29.0,9
175,97,41,28.0,8.0,39.0,36.0,5
175,97,41,40.0,8.0,53.0,36.0,6
175,97,41,54.0,8.0,67.0,36.0,8
176,163,76,82.0,15.0,115.0,65.0,5
177,310,124,125.0,45.0,147.0,95.0,1
177,310,124,148.0,49.0,173.0,99.0,5
177,310,124,169.0,51.0,192.0,101.0,8
178,78,39,31.0,5.0,42.0,31.0,2
178,78,39,42.0,5.0,48.0,31.0,1
179,87,42,33.0,4.0,42.0,32.0,2
179,87,42,43.0,1.0,53.0,29.0,5
180,67,26,16.0,5.0,22.0,22.0,1
180,67,26,23.0,5.0,30.0,22.0,7
180,67,26,31.0,4.0,41.0,21.0,4
180,67,26,40.0,4.0,50.0,21.0,2
181,123,56,45.0,6.0,62.0,45.0,3
181,123,56,63.0,10.0,82.0,49.0,7
182,108,47,29.0,1.0,57.0,42.0,3
182,108,47,55.0,2.0,77.0,43.0,4
183,64,31,22.0,2.0,34.0,25.0,2
183,64,31,32.0,3.0,40.0,26.0,1
184,198,76,53.0,28.0,77.0,61.0,2
184,198,76,77.0,29.0,98.0,62.0,8
184,198,76,96.0,34.0,119.0,67.0,10
184,198,76,116.0,32.0,138.0,65.0,10
185,38,15,10.0,2.0,15.0,13.0,2
185,38,15,17.0,1.0,22.0,12.0,5
185,38,15,23.0,1.0,28.0,12.0,6
186,152,75,34.0,8.0,47.0,57.0,1
186,152,75,49.0,9.0,71.0,58.0,3
186,152,75,71.0,10.0,101.0,59.0,10
187,66,27,20.0,2.0,32.0,27.0,1
187,66,27,32.0,1.0,49.0,26.0,9
188,115,52,38.0,11.0,54.0,43.0,4
188,115,52,55.0,12.0,72.0,44.0,5
189,90,42,35.0,4.0,55.0,35.0,9
190,44,18,15.0,3.0,21.0,15.0,2
190,44,18,22.0,3.0,28.0,15.0,6
191,85,32,26.0,7.0,34.0,27.0,1
191,85,32,35.0,7.0,46.0,27.0,5
191,85,32,46.0,5.0,57.0,25.0,9
192,56,28,22.0,2.0,34.0,24.0,3
193,257,133,123.0,24.0,146.0,109.0,1
194,110,48,47.0,14.0,54.0,33.0,4
194,110,48,56.0,13.0,67.0,32.0,3
195,48,19,15.0,3.0,20.0,16.0,1
195,48,19,20.0,4.0,27.0,17.0,2
196,115,70,45.0,10.0,70.0,61.0,1
197,70,33,23.0,4.0,31.0,27.0,3
197,70,33,31.0,5.0,36.0,28.0,1
197,70,33,37.0,6.0,45.0,29.0,6
198,119,47,29.0,8.0,51.0,40.0,2
198,119,47,49.0,9.0,71.0,41.0,9
198,119,47,68.0,9.0,85.0,41.0,7
199,427,218,145.0,41.0,222.0,190.0,2
199,427,218,206.0,34.0,274.0,183.0,10
200,188,56,97.0,4.0,117.0,36.0,3
200,188,56,113.0,7.0,129.0,39.0,1
200,188,56,126.0,10.0,144.0,42.0,8
201,90,48,31.0,3.0,52.0,41.0,2
201,90,48,52.0,4.0,69.0,42.0,3
202,268,112,148.0,70.0,166.0,105.0,1
202,268,112,165.0,69.0,188.0,104.0,10
202,268,112,179.0,56.0,202.0,91.0,5
203,186,85,69.0,30.0,89.0,69.0,2
203,186,85,86.0,22.0,102.0,61.0,4
203,186,85,97.0,9.0,117.0,48.0,1
204,74,35,32.0,4.0,44.0,26.0,4
205,72,37,28.0,7.0,40.0,31.0,4
205,72,37,37.0,8.0,46.0,32.0,9
206,283,189,223.0,96.0,238.0,126.0,4
206,283,189,238.0,91.0,253.0,121.0,9
207,335,145,118.0,35.0,158.0,114.0,1
207,335,145,148.0,34.0,188.0,113.0,1
207,335,145,180.0,34.0,223.0,113.0,1
208,49,22,24.0,3.0,34.0,21.0,9
209,129,54,42.0,9.0,51.0,44.0,1
209,129,54,53.0,2.0,69.0,37.0,8
209,129,54,72.0,11.0,88.0,46.0,8
210,133,59,46.0,8.0,66.0,47.0,2
210,133,59,68.0,10.0,89.0,49.0,6
211,67,26,19.0,2.0,29.0,20.0,2
211,67,26,35.0,2.0,43.0,20.0,7
212,107,53,43.0,13.0,54.0,42.0,2
212,107,53,55.0,13.0,62.0,42.0,9
213,135,70,59.0,4.0,78.0,56.0,1
214,80,35,32.0,3.0,45.0,27.0,8
215,148,50,43.0,7.0,66.0,38.0,3
215,148,50,66.0,9.0,88.0,40.0,10
215,148,50,89.0,10.0,114.0,41.0,2
216,208,82,63.0,13.0,90.0,48.0,2
216,208,82,91.0,23.0,119.0,58.0,8
216,208,82,119.0,34.0,144.0,69.0,10
217,123,61,50.0,12.0,73.0,49.0,2
218,59,27,21.0,4.0,27.0,23.0,1
218,59,27,27.0,2.0,36.0,21.0,8
219,327,138,82.0,52.0,130.0,118.0,3
219,327,138,115.0,35.0,152.0,101.0,2
219,327,138,137.0,19.0,170.0,85.0,8
220,140,68,47.0,4.0,74.0,59.0,5
220,140,68,72.0,5.0,96.0,60.0,1
221,82,35,25.0,4.0,33.0,29.0,1
221,82,35,34.0,5.0,46.0,30.0,5
221,82,35,46.0,6.0,57.0,31.0,7
222,59,31,23.0,4.0,32.0,23.0,2
223,73,28,23.0,4.0,32.0,24.0,1
223,73,28,33.0,4.0,41.0,24.0,9
223,73,28,41.0,3.0,51.0,23.0,10
224,133,67,48.0,14.0,66.0,55.0,6
224,133,67,66.0,15.0,86.0,56.0,8
225,89,41,41.0,10.0,51.0,32.0,2
226,74,33,23.0,6.0,28.0,28.0,1
226,74,33,28.0,5.0,39.0,27.0,3
226,74,33,39.0,4.0,50.0,26.0,6
227,53,26,22.0,5.0,27.0,21.0,1
228,139,55,59.0,13.0,75.0,45.0,1
228,139,55,73.0,13.0,81.0,45.0,1
228,139,55,80.0,12.0,91.0,44.0,1
229,53,26,19.0,5.0,28.0,20.0,7
229,53,26,27.0,5.0,36.0,20.0,2
230,107,55,44.0,5.0,67.0,47.0,3
231,103,47,38.0,12.0,44.0,39.0,1
231,103,47,45.0,12.0,54.0,39.0,4
231,103,47,56.0,11.0,65.0,38.0,4
232,78,41,30.0,8.0,36.0,32.0,1
232,78,41,36.0,8.0,45.0,32.0,10
233,141,48,35.0,11.0,53.0,42.0,1
233,141,48,56.0,10.0,71.0,41.0,3
233,141,48,75.0,11.0,88.0,42.0,5
233,141,48,92.0,9.0,107.0,40.0,8
234,105,41,44.0,12.0,55.0,32.0,8
234,105,41,52.0,10.0,64.0,30.0,4
235,124,56,39.0,9.0,55.0,42.0,2
235,124,56,56.0,11.0,65.0,44.0,1
235,124,56,65.0,11.0,78.0,44.0,10
236,168,76,63.0,19.0,76.0,59.0,1
236,168,76,75.0,18.0,86.0,58.0,1
236,168,76,83.0,18.0,104.0,58.0,4
237,325,112,142.0,50.0,154.0,76.0,1
237,325,112,152.0,48.0,163.0,74.0,9
237,325,112,159.0,45.0,172.0,71.0,3
238,94,40,30.0,8.0,47.0,30.0,7
238,94,40,47.0,8.0,64.0,30.0,7
239,75,28,22.0,2.0,30.0,22.0,1
239,75,28,31.0,3.0,37.0,23.0,4
239,75,28,39.0,2.0,51.0,22.0,10
240,285,149,127.0,41.0,147.0,80.0,3
240,285,149,140.0,41.0,166.0,80.0,9
241,44,19,15.0,3.0,19.0,17.0,1
241,44,19,21.0,4.0,28.0,18.0,5
242,78,34,23.0,6.0,37.0,29.0,1
242,78,34,37.0,5.0,50.0,28.0,5
243,88,28,28.0,7.0,34.0,20.0,2
243,88,28,35.0,6.0,43.0,19.0,3
243,88,28,42.0,6.0,50.0,19.0,6
243,88,28,52.0,7.0,60.0,20.0,3
244,87,43,34.0,11.0,40.0,38.0,1
244,87,43,42.0,8.0,54.0,35.0,5
245,88,39,29.0,8.0,43.0,30.0,3
245,88,39,42.0,9.0,55.0,31.0,8
246,175,84,63.0,16.0,86.0,56.0,5
246,175,84,86.0,20.0,102.0,60.0,1
247,38,19,13.0,1.0,24.0,17.0,2
248,63,31,23.0,4.0,39.0,26.0,7
249,78,35,30.0,5.0,40.0,32.0,1
249,78,35,38.0,4.0,49.0,31.0,10
250,67,33,24.0,3.0,32.0,23.0,7
250,67,33,32.0,5.0,41.0,25.0,8
251,206,98,70.0,7.0,107.0,89.0,7
251,206,98,106.0,9.0,142.0,91.0,6
252,112,56,-1.0,26.0,15.0,60.0,3
252,112,56,12.0,17.0,36.0,51.0,7
252,112,56,34.0,6.0,63.0,40.0,10
253,98,53,35.0,12.0,48.0,45.0,1
253,98,53,46.0,7.0,58.0,40.0,9
254,95,41,30.0,5.0,48.0,37.0,3
254,95,41,47.0,4.0,65.0,36.0,5
255,174,76,55.0,8.0,89.0,63.0,9
255,174,76,82.0,8.0,119.0,63.0,3
256,97,42,31.0,2.0,51.0,35.0,2
256,97,42,50.0,3.0,68.0,36.0,8
257,202,90,80.0,30.0,97.0,71.0,1
257,202,90,103.0,35.0,118.0,76.0,1
258,155,67,45.0,1.0,79.0,61.0,5
258,155,67,78.0,3.0,111.0,63.0,6
259,119,61,51.0,14.0,70.0,44.0,5
260,51,25,2.0,2.0,15.0,22.0,3
260,51,25,18.0,2.0,35.0,22.0,6
261,45,18,15.0,1.0,19.0,17.0,1
261,45,18,18.0,1.0,24.0,17.0,4
262,158,82,61.0,23.0,79.0,67.0,2
262,158,82,78.0,25.0,101.0,69.0,4
262,158,82,59.0,26.0,79.0,72.0,1
263,118,62,46.0,14.0,61.0,52.0,7
263,118,62,62.0,14.0,72.0,52.0,1
264,108,40,27.0,5.0,43.0,33.0,2
264,108,40,44.0,6.0,55.0,34.0,1
264,108,40,57.0,3.0,69.0,31.0,9
264,108,40,67.0,5.0,83.0,33.0,10
265,143,66,46.0,10.0,71.0,55.0,7
265,143,66,70.0,7.0,95.0,52.0,6
266,327,133,125.0,27.0,179.0,116.0,5
266,327,133,173.0,26.0,223.0,115.0,10
267,118,80,3.0,9.0,23.0,63.0,2
267,118,80,33.0,11.0,51.0,65.0,1
268,94,45,34.0,12.0,42.0,36.0,6
269,117,47,33.0,7.0,49.0,39.0,3
269,117,47,52.0,5.0,69.0,37.0,5
